Series ID,Year,Period,Label,Value
LEU0257917202,2012,A01,2012 Annual,73.9
LEU0257917202,2013,A01,2013 Annual,74.0
LEU0257917202,2014,A01,2014 Annual,79.1
LEU0257917202,2015,A01,2015 Annual,76.1
LEU0257917202,2016,A01,2016 Annual,82.9
LEU0257917202,2017,A01,2017 Annual,81.0
LEU0257917202,2018,A01,2018 Annual,79.3
LEU0257917202,2019,A01,2019 Annual,80.0
LEU0257917202,2020,A01,2020 Annual,80.9
LEU0257917202,2021,A01,2021 Annual,79.1
LEU0257917202,2022,A01,2022 Annual,82.7
LEU0257917202,2023,A01,2023 Annual,80.5
LEU0257917202,2024,A01,2024 Annual,77.7
LEU0257917202,2025,A01,2025 Annual,83.7
