Series ID,Year,Period,Label,Value
LEU0257917209,2012,A01,2012 Annual,77.0
LEU0257917209,2013,A01,2013 Annual,80.8
LEU0257917209,2014,A01,2014 Annual,79.2
LEU0257917209,2015,A01,2015 Annual,76.7
LEU0257917209,2016,A01,2016 Annual,75.3
LEU0257917209,2017,A01,2017 Annual,85.1
LEU0257917209,2018,A01,2018 Annual,81.0
LEU0257917209,2019,A01,2019 Annual,85.6
LEU0257917209,2020,A01,2020 Annual,97.0
LEU0257917209,2021,A01,2021 Annual,85.6
LEU0257917209,2022,A01,2022 Annual,80.8
LEU0257917209,2023,A01,2023 Annual,88.2
LEU0257917209,2024,A01,2024 Annual,89.3
LEU0257917209,2025,A01,2025 Annual,79.6
