Series ID,Year,Period,Label,Value
LEU0257917219,2012,A01,2012 Annual,79.5
LEU0257917219,2013,A01,2013 Annual,77.9
LEU0257917219,2014,A01,2014 Annual,81.0
LEU0257917219,2015,A01,2015 Annual,78.6
LEU0257917219,2016,A01,2016 Annual,76.4
LEU0257917219,2017,A01,2017 Annual,81.4
LEU0257917219,2018,A01,2018 Annual,77.1
LEU0257917219,2019,A01,2019 Annual,80.3
LEU0257917219,2020,A01,2020 Annual,83.7
LEU0257917219,2021,A01,2021 Annual,82.9
LEU0257917219,2022,A01,2022 Annual,82.8
LEU0257917219,2023,A01,2023 Annual,81.6
LEU0257917219,2024,A01,2024 Annual,83.9
LEU0257917219,2025,A01,2025 Annual,81.2
