Series ID,Year,Period,Label,Value
LEU0257917256,2012,A01,2012 Annual,65.5
LEU0257917256,2013,A01,2013 Annual,68.6
LEU0257917256,2014,A01,2014 Annual,67.7
LEU0257917256,2015,A01,2015 Annual,69.0
LEU0257917256,2016,A01,2016 Annual,72.1
LEU0257917256,2017,A01,2017 Annual,71.6
LEU0257917256,2018,A01,2018 Annual,67.8
LEU0257917256,2019,A01,2019 Annual,72.5
LEU0257917256,2020,A01,2020 Annual,75.2
LEU0257917256,2021,A01,2021 Annual,75.2
LEU0257917256,2022,A01,2022 Annual,75.6
LEU0257917256,2023,A01,2023 Annual,77.0
LEU0257917256,2024,A01,2024 Annual,80.1
LEU0257917256,2025,A01,2025 Annual,78.2
