Series ID,Year,Period,Label,Value
LEU0257917218,2012,A01,2012 Annual,78.1
LEU0257917218,2013,A01,2013 Annual,78.3
LEU0257917218,2014,A01,2014 Annual,79.2
LEU0257917218,2015,A01,2015 Annual,79.8
LEU0257917218,2016,A01,2016 Annual,84.7
LEU0257917218,2017,A01,2017 Annual,78.4
LEU0257917218,2018,A01,2018 Annual,79.8
LEU0257917218,2019,A01,2019 Annual,73.6
LEU0257917218,2020,A01,2020 Annual,77.0
LEU0257917218,2021,A01,2021 Annual,79.6
LEU0257917218,2022,A01,2022 Annual,77.6
LEU0257917218,2023,A01,2023 Annual,81.9
LEU0257917218,2024,A01,2024 Annual,84.4
LEU0257917218,2025,A01,2025 Annual,81.1
