Series ID,Year,Period,Label,Value
LEU0257917235,2012,A01,2012 Annual,80.4
LEU0257917235,2013,A01,2013 Annual,78.1
LEU0257917235,2014,A01,2014 Annual,77.6
LEU0257917235,2015,A01,2015 Annual,78.6
LEU0257917235,2016,A01,2016 Annual,88.0
LEU0257917235,2017,A01,2017 Annual,90.9
LEU0257917235,2018,A01,2018 Annual,81.4
LEU0257917235,2019,A01,2019 Annual,80.5
LEU0257917235,2020,A01,2020 Annual,87.5
LEU0257917235,2021,A01,2021 Annual,80.9
LEU0257917235,2022,A01,2022 Annual,83.6
LEU0257917235,2023,A01,2023 Annual,82.3
LEU0257917235,2024,A01,2024 Annual,81.7
LEU0257917235,2025,A01,2025 Annual,82.7
