Series ID,Year,Period,Label,Value
LEU0257917248,2012,A01,2012 Annual,79.6
LEU0257917248,2013,A01,2013 Annual,78.6
LEU0257917248,2014,A01,2014 Annual,81.8
LEU0257917248,2015,A01,2015 Annual,79.1
LEU0257917248,2016,A01,2016 Annual,82.2
LEU0257917248,2017,A01,2017 Annual,82.1
LEU0257917248,2018,A01,2018 Annual,80.5
LEU0257917248,2019,A01,2019 Annual,80.9
LEU0257917248,2020,A01,2020 Annual,87.0
LEU0257917248,2021,A01,2021 Annual,85.5
LEU0257917248,2022,A01,2022 Annual,83.0
LEU0257917248,2023,A01,2023 Annual,83.1
LEU0257917248,2024,A01,2024 Annual,79.9
LEU0257917248,2025,A01,2025 Annual,81.7
