Series ID,Year,Period,Label,Value
LEU0257917246,2012,A01,2012 Annual,82.0
LEU0257917246,2013,A01,2013 Annual,79.8
LEU0257917246,2014,A01,2014 Annual,78.7
LEU0257917246,2015,A01,2015 Annual,79.2
LEU0257917246,2016,A01,2016 Annual,76.5
LEU0257917246,2017,A01,2017 Annual,79.1
LEU0257917246,2018,A01,2018 Annual,82.7
LEU0257917246,2019,A01,2019 Annual,78.2
LEU0257917246,2020,A01,2020 Annual,85.1
LEU0257917246,2021,A01,2021 Annual,82.9
LEU0257917246,2022,A01,2022 Annual,82.3
LEU0257917246,2023,A01,2023 Annual,78.4
LEU0257917246,2024,A01,2024 Annual,81.7
LEU0257917246,2025,A01,2025 Annual,79.1
