Series ID,Year,Period,Label,Value
LEU0257917232,2012,A01,2012 Annual,80.7
LEU0257917232,2013,A01,2013 Annual,87.1
LEU0257917232,2014,A01,2014 Annual,85.8
LEU0257917232,2015,A01,2015 Annual,81.6
LEU0257917232,2016,A01,2016 Annual,82.2
LEU0257917232,2017,A01,2017 Annual,83.5
LEU0257917232,2018,A01,2018 Annual,87.1
LEU0257917232,2019,A01,2019 Annual,84.3
LEU0257917232,2020,A01,2020 Annual,79.8
LEU0257917232,2021,A01,2021 Annual,88.4
LEU0257917232,2022,A01,2022 Annual,80.1
LEU0257917232,2023,A01,2023 Annual,85.3
LEU0257917232,2024,A01,2024 Annual,84.5
LEU0257917232,2025,A01,2025 Annual,87.5
