Series ID,Year,Period,Label,Value
LEU0257917247,2012,A01,2012 Annual,82.6
LEU0257917247,2013,A01,2013 Annual,84.4
LEU0257917247,2014,A01,2014 Annual,90.2
LEU0257917247,2015,A01,2015 Annual,85.6
LEU0257917247,2016,A01,2016 Annual,81.1
LEU0257917247,2017,A01,2017 Annual,80.5
LEU0257917247,2018,A01,2018 Annual,80.4
LEU0257917247,2019,A01,2019 Annual,78.2
LEU0257917247,2020,A01,2020 Annual,81.8
LEU0257917247,2021,A01,2021 Annual,80.0
LEU0257917247,2022,A01,2022 Annual,82.0
LEU0257917247,2023,A01,2023 Annual,80.6
LEU0257917247,2024,A01,2024 Annual,84.3
LEU0257917247,2025,A01,2025 Annual,81.9
