Series ID,Year,Period,Label,Value
LEU0257917244,2012,A01,2012 Annual,82.7
LEU0257917244,2013,A01,2013 Annual,79.2
LEU0257917244,2014,A01,2014 Annual,78.4
LEU0257917244,2015,A01,2015 Annual,79.6
LEU0257917244,2016,A01,2016 Annual,84.3
LEU0257917244,2017,A01,2017 Annual,87.1
LEU0257917244,2018,A01,2018 Annual,71.8
LEU0257917244,2019,A01,2019 Annual,83.6
LEU0257917244,2020,A01,2020 Annual,85.5
LEU0257917244,2021,A01,2021 Annual,91.5
LEU0257917244,2022,A01,2022 Annual,99.6
LEU0257917244,2023,A01,2023 Annual,81.9
LEU0257917244,2024,A01,2024 Annual,82.7
LEU0257917244,2025,A01,2025 Annual,82.8
