Series ID,Year,Period,Label,Value
LEU0257917224,2012,A01,2012 Annual,85.2
LEU0257917224,2013,A01,2013 Annual,86.0
LEU0257917224,2014,A01,2014 Annual,86.9
LEU0257917224,2015,A01,2015 Annual,83.8
LEU0257917224,2016,A01,2016 Annual,87.3
LEU0257917224,2017,A01,2017 Annual,84.8
LEU0257917224,2018,A01,2018 Annual,82.8
LEU0257917224,2019,A01,2019 Annual,89.1
LEU0257917224,2020,A01,2020 Annual,86.1
LEU0257917224,2021,A01,2021 Annual,85.4
LEU0257917224,2022,A01,2022 Annual,86.6
LEU0257917224,2023,A01,2023 Annual,88.5
LEU0257917224,2024,A01,2024 Annual,98.6
LEU0257917224,2025,A01,2025 Annual,91.8
