Series ID,Year,Period,Label,Value
LEU0257917227,2012,A01,2012 Annual,82.2
LEU0257917227,2013,A01,2013 Annual,82.6
LEU0257917227,2014,A01,2014 Annual,84.2
LEU0257917227,2015,A01,2015 Annual,82.4
LEU0257917227,2016,A01,2016 Annual,83.2
LEU0257917227,2017,A01,2017 Annual,82.3
LEU0257917227,2018,A01,2018 Annual,85.5
LEU0257917227,2019,A01,2019 Annual,82.3
LEU0257917227,2020,A01,2020 Annual,85.8
LEU0257917227,2021,A01,2021 Annual,81.0
LEU0257917227,2022,A01,2022 Annual,91.0
LEU0257917227,2023,A01,2023 Annual,83.0
LEU0257917227,2024,A01,2024 Annual,80.2
LEU0257917227,2025,A01,2025 Annual,84.7
