Series ID,Year,Period,Label,Value
LEU0257917212,2012,A01,2012 Annual,84.9
LEU0257917212,2013,A01,2013 Annual,83.2
LEU0257917212,2014,A01,2014 Annual,83.0
LEU0257917212,2015,A01,2015 Annual,87.4
LEU0257917212,2016,A01,2016 Annual,87.1
LEU0257917212,2017,A01,2017 Annual,87.9
LEU0257917212,2018,A01,2018 Annual,82.6
LEU0257917212,2019,A01,2019 Annual,85.1
LEU0257917212,2020,A01,2020 Annual,84.1
LEU0257917212,2021,A01,2021 Annual,85.6
LEU0257917212,2022,A01,2022 Annual,84.2
LEU0257917212,2023,A01,2023 Annual,87.9
LEU0257917212,2024,A01,2024 Annual,85.5
LEU0257917212,2025,A01,2025 Annual,85.1
