Series ID,Year,Period,Label,Value
LEU0257917225,2012,A01,2012 Annual,80.8
LEU0257917225,2013,A01,2013 Annual,81.2
LEU0257917225,2014,A01,2014 Annual,83.8
LEU0257917225,2015,A01,2015 Annual,81.6
LEU0257917225,2016,A01,2016 Annual,84.3
LEU0257917225,2017,A01,2017 Annual,80.6
LEU0257917225,2018,A01,2018 Annual,85.0
LEU0257917225,2019,A01,2019 Annual,86.5
LEU0257917225,2020,A01,2020 Annual,82.2
LEU0257917225,2021,A01,2021 Annual,83.5
LEU0257917225,2022,A01,2022 Annual,85.8
LEU0257917225,2023,A01,2023 Annual,87.2
LEU0257917225,2024,A01,2024 Annual,84.0
LEU0257917225,2025,A01,2025 Annual,84.4
