Series ID,Year,Period,Label,Value
LEU0257917242,2012,A01,2012 Annual,81.7
LEU0257917242,2013,A01,2013 Annual,79.7
LEU0257917242,2014,A01,2014 Annual,78.8
LEU0257917242,2015,A01,2015 Annual,78.4
LEU0257917242,2016,A01,2016 Annual,77.5
LEU0257917242,2017,A01,2017 Annual,79.1
LEU0257917242,2018,A01,2018 Annual,80.6
LEU0257917242,2019,A01,2019 Annual,77.5
LEU0257917242,2020,A01,2020 Annual,79.6
LEU0257917242,2021,A01,2021 Annual,80.8
LEU0257917242,2022,A01,2022 Annual,82.1
LEU0257917242,2023,A01,2023 Annual,82.4
LEU0257917242,2024,A01,2024 Annual,81.6
LEU0257917242,2025,A01,2025 Annual,81.2
