Series ID,Year,Period,Label,Value
LEU0257917239,2012,A01,2012 Annual,82.8
LEU0257917239,2013,A01,2013 Annual,82.7
LEU0257917239,2014,A01,2014 Annual,78.4
LEU0257917239,2015,A01,2015 Annual,81.2
LEU0257917239,2016,A01,2016 Annual,79.3
LEU0257917239,2017,A01,2017 Annual,81.8
LEU0257917239,2018,A01,2018 Annual,79.2
LEU0257917239,2019,A01,2019 Annual,81.4
LEU0257917239,2020,A01,2020 Annual,81.9
LEU0257917239,2021,A01,2021 Annual,81.5
LEU0257917239,2022,A01,2022 Annual,81.8
LEU0257917239,2023,A01,2023 Annual,82.1
LEU0257917239,2024,A01,2024 Annual,80.7
LEU0257917239,2025,A01,2025 Annual,76.9
