Series ID,Year,Period,Label,Value
LEU0257917231,2012,A01,2012 Annual,84.2
LEU0257917231,2013,A01,2013 Annual,83.4
LEU0257917231,2014,A01,2014 Annual,80.9
LEU0257917231,2015,A01,2015 Annual,76.2
LEU0257917231,2016,A01,2016 Annual,81.5
LEU0257917231,2017,A01,2017 Annual,87.3
LEU0257917231,2018,A01,2018 Annual,80.2
LEU0257917231,2019,A01,2019 Annual,83.6
LEU0257917231,2020,A01,2020 Annual,83.1
LEU0257917231,2021,A01,2021 Annual,83.0
LEU0257917231,2022,A01,2022 Annual,87.7
LEU0257917231,2023,A01,2023 Annual,83.5
LEU0257917231,2024,A01,2024 Annual,82.1
LEU0257917231,2025,A01,2025 Annual,77.0
