Series ID,Year,Period,Label,Value
LEU0257917215,2012,A01,2012 Annual,82.1
LEU0257917215,2013,A01,2013 Annual,84.2
LEU0257917215,2014,A01,2014 Annual,92.8
LEU0257917215,2015,A01,2015 Annual,87.9
LEU0257917215,2016,A01,2016 Annual,82.6
LEU0257917215,2017,A01,2017 Annual,80.0
LEU0257917215,2018,A01,2018 Annual,82.6
LEU0257917215,2019,A01,2019 Annual,85.1
LEU0257917215,2020,A01,2020 Annual,79.4
LEU0257917215,2021,A01,2021 Annual,86.4
LEU0257917215,2022,A01,2022 Annual,84.8
LEU0257917215,2023,A01,2023 Annual,82.4
LEU0257917215,2024,A01,2024 Annual,86.7
LEU0257917215,2025,A01,2025 Annual,82.0
