Series ID,Year,Period,Label,Value
LEU0257917226,2012,A01,2012 Annual,77.3
LEU0257917226,2013,A01,2013 Annual,81.5
LEU0257917226,2014,A01,2014 Annual,80.4
LEU0257917226,2015,A01,2015 Annual,76.8
LEU0257917226,2016,A01,2016 Annual,79.6
LEU0257917226,2017,A01,2017 Annual,82.4
LEU0257917226,2018,A01,2018 Annual,82.2
LEU0257917226,2019,A01,2019 Annual,79.5
LEU0257917226,2020,A01,2020 Annual,80.6
LEU0257917226,2021,A01,2021 Annual,76.2
LEU0257917226,2022,A01,2022 Annual,82.5
LEU0257917226,2023,A01,2023 Annual,83.0
LEU0257917226,2024,A01,2024 Annual,79.1
LEU0257917226,2025,A01,2025 Annual,79.3
