Series ID,Year,Period,Label,Value
LEU0257917230,2012,A01,2012 Annual,77.2
LEU0257917230,2013,A01,2013 Annual,76.3
LEU0257917230,2014,A01,2014 Annual,73.9
LEU0257917230,2015,A01,2015 Annual,83.1
LEU0257917230,2016,A01,2016 Annual,81.4
LEU0257917230,2017,A01,2017 Annual,80.7
LEU0257917230,2018,A01,2018 Annual,78.6
LEU0257917230,2019,A01,2019 Annual,77.6
LEU0257917230,2020,A01,2020 Annual,80.7
LEU0257917230,2021,A01,2021 Annual,82.4
LEU0257917230,2022,A01,2022 Annual,81.7
LEU0257917230,2023,A01,2023 Annual,83.5
LEU0257917230,2024,A01,2024 Annual,83.0
LEU0257917230,2025,A01,2025 Annual,84.3
