Series ID,Year,Period,Label,Value
LEU0257917237,2012,A01,2012 Annual,80.9
LEU0257917237,2013,A01,2013 Annual,82.7
LEU0257917237,2014,A01,2014 Annual,86.1
LEU0257917237,2015,A01,2015 Annual,85.8
LEU0257917237,2016,A01,2016 Annual,84.2
LEU0257917237,2017,A01,2017 Annual,86.3
LEU0257917237,2018,A01,2018 Annual,83.5
LEU0257917237,2019,A01,2019 Annual,83.7
LEU0257917237,2020,A01,2020 Annual,81.1
LEU0257917237,2021,A01,2021 Annual,84.2
LEU0257917237,2022,A01,2022 Annual,85.7
LEU0257917237,2023,A01,2023 Annual,85.8
LEU0257917237,2024,A01,2024 Annual,83.2
LEU0257917237,2025,A01,2025 Annual,81.7
