Series ID,Year,Period,Label,Value
LEU0257917222,2012,A01,2012 Annual,72.0
LEU0257917222,2013,A01,2013 Annual,73.1
LEU0257917222,2014,A01,2014 Annual,77.5
LEU0257917222,2015,A01,2015 Annual,76.1
LEU0257917222,2016,A01,2016 Annual,76.4
LEU0257917222,2017,A01,2017 Annual,77.4
LEU0257917222,2018,A01,2018 Annual,76.0
LEU0257917222,2019,A01,2019 Annual,73.6
LEU0257917222,2020,A01,2020 Annual,74.2
LEU0257917222,2021,A01,2021 Annual,78.1
LEU0257917222,2022,A01,2022 Annual,77.3
LEU0257917222,2023,A01,2023 Annual,73.7
LEU0257917222,2024,A01,2024 Annual,77.3
LEU0257917222,2025,A01,2025 Annual,82.0
