Series ID,Year,Period,Label,Value
LEU0257917204,2012,A01,2012 Annual,86.8
LEU0257917204,2013,A01,2013 Annual,82.8
LEU0257917204,2014,A01,2014 Annual,80.9
LEU0257917204,2015,A01,2015 Annual,82.6
LEU0257917204,2016,A01,2016 Annual,86.3
LEU0257917204,2017,A01,2017 Annual,81.8
LEU0257917204,2018,A01,2018 Annual,83.7
LEU0257917204,2019,A01,2019 Annual,78.4
LEU0257917204,2020,A01,2020 Annual,86.4
LEU0257917204,2021,A01,2021 Annual,80.5
LEU0257917204,2022,A01,2022 Annual,80.0
LEU0257917204,2023,A01,2023 Annual,82.6
LEU0257917204,2024,A01,2024 Annual,78.7
LEU0257917204,2025,A01,2025 Annual,81.8
