Series ID,Year,Period,Label,Value
LEU0257917228,2012,A01,2012 Annual,75.0
LEU0257917228,2013,A01,2013 Annual,80.2
LEU0257917228,2014,A01,2014 Annual,79.7
LEU0257917228,2015,A01,2015 Annual,76.6
LEU0257917228,2016,A01,2016 Annual,80.2
LEU0257917228,2017,A01,2017 Annual,81.0
LEU0257917228,2018,A01,2018 Annual,76.7
LEU0257917228,2019,A01,2019 Annual,80.6
LEU0257917228,2020,A01,2020 Annual,76.9
LEU0257917228,2021,A01,2021 Annual,83.6
LEU0257917228,2022,A01,2022 Annual,82.9
LEU0257917228,2023,A01,2023 Annual,84.1
LEU0257917228,2024,A01,2024 Annual,78.4
LEU0257917228,2025,A01,2025 Annual,85.4
