Series ID,Year,Period,Label,Value
LEU0257917223,2012,A01,2012 Annual,79.5
LEU0257917223,2013,A01,2013 Annual,85.3
LEU0257917223,2014,A01,2014 Annual,82.4
LEU0257917223,2015,A01,2015 Annual,80.0
LEU0257917223,2016,A01,2016 Annual,83.8
LEU0257917223,2017,A01,2017 Annual,83.4
LEU0257917223,2018,A01,2018 Annual,87.2
LEU0257917223,2019,A01,2019 Annual,78.8
LEU0257917223,2020,A01,2020 Annual,76.6
LEU0257917223,2021,A01,2021 Annual,84.4
LEU0257917223,2022,A01,2022 Annual,85.6
LEU0257917223,2023,A01,2023 Annual,89.4
LEU0257917223,2024,A01,2024 Annual,87.2
LEU0257917223,2025,A01,2025 Annual,84.9
