Series ID,Year,Period,Label,Value
LEU0257917251,2012,A01,2012 Annual,79.5
LEU0257917251,2013,A01,2013 Annual,83.2
LEU0257917251,2014,A01,2014 Annual,83.6
LEU0257917251,2015,A01,2015 Annual,80.0
LEU0257917251,2016,A01,2016 Annual,79.9
LEU0257917251,2017,A01,2017 Annual,80.9
LEU0257917251,2018,A01,2018 Annual,79.6
LEU0257917251,2019,A01,2019 Annual,81.5
LEU0257917251,2020,A01,2020 Annual,79.5
LEU0257917251,2021,A01,2021 Annual,80.4
LEU0257917251,2022,A01,2022 Annual,79.6
LEU0257917251,2023,A01,2023 Annual,78.8
LEU0257917251,2024,A01,2024 Annual,75.4
LEU0257917251,2025,A01,2025 Annual,80.4
