Series ID,Year,Period,Label,Value
LEU0257917241,2012,A01,2012 Annual,83.9
LEU0257917241,2013,A01,2013 Annual,80.8
LEU0257917241,2014,A01,2014 Annual,82.2
LEU0257917241,2015,A01,2015 Annual,83.0
LEU0257917241,2016,A01,2016 Annual,87.5
LEU0257917241,2017,A01,2017 Annual,81.5
LEU0257917241,2018,A01,2018 Annual,82.0
LEU0257917241,2019,A01,2019 Annual,81.6
LEU0257917241,2020,A01,2020 Annual,83.5
LEU0257917241,2021,A01,2021 Annual,85.7
LEU0257917241,2022,A01,2022 Annual,89.2
LEU0257917241,2023,A01,2023 Annual,88.5
LEU0257917241,2024,A01,2024 Annual,85.8
LEU0257917241,2025,A01,2025 Annual,81.6
