Series ID,Year,Period,Label,Value
LEU0257917229,2012,A01,2012 Annual,78.5
LEU0257917229,2013,A01,2013 Annual,78.1
LEU0257917229,2014,A01,2014 Annual,77.9
LEU0257917229,2015,A01,2015 Annual,77.3
LEU0257917229,2016,A01,2016 Annual,79.4
LEU0257917229,2017,A01,2017 Annual,79.2
LEU0257917229,2018,A01,2018 Annual,80.7
LEU0257917229,2019,A01,2019 Annual,78.0
LEU0257917229,2020,A01,2020 Annual,78.7
LEU0257917229,2021,A01,2021 Annual,83.4
LEU0257917229,2022,A01,2022 Annual,79.5
LEU0257917229,2023,A01,2023 Annual,83.9
LEU0257917229,2024,A01,2024 Annual,77.8
LEU0257917229,2025,A01,2025 Annual,78.6
