Series ID,Year,Period,Label,Value
LEU0257917201,2012,A01,2012 Annual,76.4
LEU0257917201,2013,A01,2013 Annual,77.2
LEU0257917201,2014,A01,2014 Annual,74.6
LEU0257917201,2015,A01,2015 Annual,75.5
LEU0257917201,2016,A01,2016 Annual,76.1
LEU0257917201,2017,A01,2017 Annual,77.6
LEU0257917201,2018,A01,2018 Annual,74.6
LEU0257917201,2019,A01,2019 Annual,76.4
LEU0257917201,2020,A01,2020 Annual,80.9
LEU0257917201,2021,A01,2021 Annual,77.9
LEU0257917201,2022,A01,2022 Annual,79.8
LEU0257917201,2023,A01,2023 Annual,80.5
LEU0257917201,2024,A01,2024 Annual,77.1
LEU0257917201,2025,A01,2025 Annual,78.4
