Series ID,Year,Period,Label,Value
LEU0257917254,2012,A01,2012 Annual,72.6
LEU0257917254,2013,A01,2013 Annual,74.7
LEU0257917254,2014,A01,2014 Annual,77.3
LEU0257917254,2015,A01,2015 Annual,79.7
LEU0257917254,2016,A01,2016 Annual,81.3
LEU0257917254,2017,A01,2017 Annual,80.7
LEU0257917254,2018,A01,2018 Annual,75.3
LEU0257917254,2019,A01,2019 Annual,81.7
LEU0257917254,2020,A01,2020 Annual,81.5
LEU0257917254,2021,A01,2021 Annual,76.4
LEU0257917254,2022,A01,2022 Annual,77.7
LEU0257917254,2023,A01,2023 Annual,79.3
LEU0257917254,2024,A01,2024 Annual,82.0
LEU0257917254,2025,A01,2025 Annual,83.4
