Series ID,Year,Period,Label,Value
LEU0257917208,2012,A01,2012 Annual,78.3
LEU0257917208,2013,A01,2013 Annual,77.9
LEU0257917208,2014,A01,2014 Annual,81.3
LEU0257917208,2015,A01,2015 Annual,82.8
LEU0257917208,2016,A01,2016 Annual,84.0
LEU0257917208,2017,A01,2017 Annual,85.0
LEU0257917208,2018,A01,2018 Annual,84.9
LEU0257917208,2019,A01,2019 Annual,86.4
LEU0257917208,2020,A01,2020 Annual,78.1
LEU0257917208,2021,A01,2021 Annual,85.4
LEU0257917208,2022,A01,2022 Annual,87.0
LEU0257917208,2023,A01,2023 Annual,82.1
LEU0257917208,2024,A01,2024 Annual,81.4
LEU0257917208,2025,A01,2025 Annual,87.7
