Series ID,Year,Period,Label,Value
LEU0257917217,2012,A01,2012 Annual,79.1
LEU0257917217,2013,A01,2013 Annual,81.6
LEU0257917217,2014,A01,2014 Annual,86.2
LEU0257917217,2015,A01,2015 Annual,83.4
LEU0257917217,2016,A01,2016 Annual,79.2
LEU0257917217,2017,A01,2017 Annual,77.8
LEU0257917217,2018,A01,2018 Annual,77.7
LEU0257917217,2019,A01,2019 Annual,80.0
LEU0257917217,2020,A01,2020 Annual,80.1
LEU0257917217,2021,A01,2021 Annual,80.7
LEU0257917217,2022,A01,2022 Annual,80.3
LEU0257917217,2023,A01,2023 Annual,83.6
LEU0257917217,2024,A01,2024 Annual,89.7
LEU0257917217,2025,A01,2025 Annual,83.1
