Series ID,Year,Period,Label,Value
LEU0257917210,2012,A01,2012 Annual,83.0
LEU0257917210,2013,A01,2013 Annual,82.4
LEU0257917210,2014,A01,2014 Annual,87.6
LEU0257917210,2015,A01,2015 Annual,87.3
LEU0257917210,2016,A01,2016 Annual,85.9
LEU0257917210,2017,A01,2017 Annual,86.7
LEU0257917210,2018,A01,2018 Annual,80.3
LEU0257917210,2019,A01,2019 Annual,82.8
LEU0257917210,2020,A01,2020 Annual,77.9
LEU0257917210,2021,A01,2021 Annual,90.6
LEU0257917210,2022,A01,2022 Annual,95.5
LEU0257917210,2023,A01,2023 Annual,88.7
LEU0257917210,2024,A01,2024 Annual,79.6
LEU0257917210,2025,A01,2025 Annual,76.2
