Series ID,Year,Period,Label,Value
LEU0257917255,2012,A01,2012 Annual,80.6
LEU0257917255,2013,A01,2013 Annual,81.9
LEU0257917255,2014,A01,2014 Annual,81.4
LEU0257917255,2015,A01,2015 Annual,76.8
LEU0257917255,2016,A01,2016 Annual,78.4
LEU0257917255,2017,A01,2017 Annual,83.0
LEU0257917255,2018,A01,2018 Annual,80.7
LEU0257917255,2019,A01,2019 Annual,82.4
LEU0257917255,2020,A01,2020 Annual,86.5
LEU0257917255,2021,A01,2021 Annual,89.4
LEU0257917255,2022,A01,2022 Annual,80.4
LEU0257917255,2023,A01,2023 Annual,84.2
LEU0257917255,2024,A01,2024 Annual,78.9
LEU0257917255,2025,A01,2025 Annual,80.2
