Series ID,Year,Period,Label,Value
LEU0257917221,2012,A01,2012 Annual,81.3
LEU0257917221,2013,A01,2013 Annual,81.4
LEU0257917221,2014,A01,2014 Annual,76.3
LEU0257917221,2015,A01,2015 Annual,80.7
LEU0257917221,2016,A01,2016 Annual,85.9
LEU0257917221,2017,A01,2017 Annual,80.7
LEU0257917221,2018,A01,2018 Annual,82.2
LEU0257917221,2019,A01,2019 Annual,79.2
LEU0257917221,2020,A01,2020 Annual,76.8
LEU0257917221,2021,A01,2021 Annual,88.4
LEU0257917221,2022,A01,2022 Annual,84.5
LEU0257917221,2023,A01,2023 Annual,88.8
LEU0257917221,2024,A01,2024 Annual,76.6
LEU0257917221,2025,A01,2025 Annual,77.0
