Series ID,Year,Period,Label,Value
LEU0257917205,2012,A01,2012 Annual,84.1
LEU0257917205,2013,A01,2013 Annual,86.1
LEU0257917205,2014,A01,2014 Annual,86.8
LEU0257917205,2015,A01,2015 Annual,79.8
LEU0257917205,2016,A01,2016 Annual,83.0
LEU0257917205,2017,A01,2017 Annual,83.2
LEU0257917205,2018,A01,2018 Annual,84.2
LEU0257917205,2019,A01,2019 Annual,81.7
LEU0257917205,2020,A01,2020 Annual,84.1
LEU0257917205,2021,A01,2021 Annual,87.1
LEU0257917205,2022,A01,2022 Annual,86.2
LEU0257917205,2023,A01,2023 Annual,84.0
LEU0257917205,2024,A01,2024 Annual,86.1
LEU0257917205,2025,A01,2025 Annual,80.6
