Series ID,Year,Period,Label,Value
LEU0257917245,2012,A01,2012 Annual,83.3
LEU0257917245,2013,A01,2013 Annual,79.2
LEU0257917245,2014,A01,2014 Annual,79.5
LEU0257917245,2015,A01,2015 Annual,84.3
LEU0257917245,2016,A01,2016 Annual,77.7
LEU0257917245,2017,A01,2017 Annual,77.5
LEU0257917245,2018,A01,2018 Annual,80.2
LEU0257917245,2019,A01,2019 Annual,76.9
LEU0257917245,2020,A01,2020 Annual,77.6
LEU0257917245,2021,A01,2021 Annual,78.4
LEU0257917245,2022,A01,2022 Annual,82.8
LEU0257917245,2023,A01,2023 Annual,85.7
LEU0257917245,2024,A01,2024 Annual,82.0
LEU0257917245,2025,A01,2025 Annual,85.8
