Series ID,Year,Period,Label,Value
LEU0257917233,2012,A01,2012 Annual,79.2
LEU0257917233,2013,A01,2013 Annual,82.4
LEU0257917233,2014,A01,2014 Annual,81.2
LEU0257917233,2015,A01,2015 Annual,77.3
LEU0257917233,2016,A01,2016 Annual,75.2
LEU0257917233,2017,A01,2017 Annual,83.5
LEU0257917233,2018,A01,2018 Annual,81.3
LEU0257917233,2019,A01,2019 Annual,78.6
LEU0257917233,2020,A01,2020 Annual,82.5
LEU0257917233,2021,A01,2021 Annual,76.3
LEU0257917233,2022,A01,2022 Annual,75.4
LEU0257917233,2023,A01,2023 Annual,77.8
LEU0257917233,2024,A01,2024 Annual,73.8
LEU0257917233,2025,A01,2025 Annual,80.0
