Series ID,Year,Period,Label,Value
LEU0257917238,2012,A01,2012 Annual,78.1
LEU0257917238,2013,A01,2013 Annual,76.6
LEU0257917238,2014,A01,2014 Annual,77.5
LEU0257917238,2015,A01,2015 Annual,74.8
LEU0257917238,2016,A01,2016 Annual,76.7
LEU0257917238,2017,A01,2017 Annual,77.7
LEU0257917238,2018,A01,2018 Annual,73.9
LEU0257917238,2019,A01,2019 Annual,74.5
LEU0257917238,2020,A01,2020 Annual,79.9
LEU0257917238,2021,A01,2021 Annual,79.5
LEU0257917238,2022,A01,2022 Annual,78.9
LEU0257917238,2023,A01,2023 Annual,81.2
LEU0257917238,2024,A01,2024 Annual,84.8
LEU0257917238,2025,A01,2025 Annual,80.5
