Series ID,Year,Period,Label,Value
LEU0257917216,2012,A01,2012 Annual,78.2
LEU0257917216,2013,A01,2013 Annual,87.6
LEU0257917216,2014,A01,2014 Annual,85.5
LEU0257917216,2015,A01,2015 Annual,81.1
LEU0257917216,2016,A01,2016 Annual,76.5
LEU0257917216,2017,A01,2017 Annual,77.8
LEU0257917216,2018,A01,2018 Annual,79.5
LEU0257917216,2019,A01,2019 Annual,74.2
LEU0257917216,2020,A01,2020 Annual,75.7
LEU0257917216,2021,A01,2021 Annual,81.3
LEU0257917216,2022,A01,2022 Annual,78.4
LEU0257917216,2023,A01,2023 Annual,81.7
LEU0257917216,2024,A01,2024 Annual,76.4
LEU0257917216,2025,A01,2025 Annual,76.0
