Series ID,Year,Period,Label,Value
LEU0257917236,2012,A01,2012 Annual,82.9
LEU0257917236,2013,A01,2013 Annual,83.3
LEU0257917236,2014,A01,2014 Annual,84.6
LEU0257917236,2015,A01,2015 Annual,86.9
LEU0257917236,2016,A01,2016 Annual,86.2
LEU0257917236,2017,A01,2017 Annual,86.4
LEU0257917236,2018,A01,2018 Annual,85.5
LEU0257917236,2019,A01,2019 Annual,83.8
LEU0257917236,2020,A01,2020 Annual,84.5
LEU0257917236,2021,A01,2021 Annual,83.4
LEU0257917236,2022,A01,2022 Annual,86.5
LEU0257917236,2023,A01,2023 Annual,84.2
LEU0257917236,2024,A01,2024 Annual,86.1
LEU0257917236,2025,A01,2025 Annual,86.7
