Series ID,Year,Period,Label,Value
LEU0257917206,2012,A01,2012 Annual,86.0
LEU0257917206,2013,A01,2013 Annual,89.4
LEU0257917206,2014,A01,2014 Annual,89.3
LEU0257917206,2015,A01,2015 Annual,84.8
LEU0257917206,2016,A01,2016 Annual,88.0
LEU0257917206,2017,A01,2017 Annual,83.4
LEU0257917206,2018,A01,2018 Annual,88.3
LEU0257917206,2019,A01,2019 Annual,89.0
LEU0257917206,2020,A01,2020 Annual,87.6
LEU0257917206,2021,A01,2021 Annual,88.2
LEU0257917206,2022,A01,2022 Annual,86.8
LEU0257917206,2023,A01,2023 Annual,89.9
LEU0257917206,2024,A01,2024 Annual,87.2
LEU0257917206,2025,A01,2025 Annual,88.3
