Series ID,Year,Period,Label,Value
LEU0257917250,2012,A01,2012 Annual,80.6
LEU0257917250,2013,A01,2013 Annual,91.3
LEU0257917250,2014,A01,2014 Annual,89.2
LEU0257917250,2015,A01,2015 Annual,83.4
LEU0257917250,2016,A01,2016 Annual,90.2
LEU0257917250,2017,A01,2017 Annual,88.9
LEU0257917250,2018,A01,2018 Annual,86.1
LEU0257917250,2019,A01,2019 Annual,86.5
LEU0257917250,2020,A01,2020 Annual,83.7
LEU0257917250,2021,A01,2021 Annual,87.0
LEU0257917250,2022,A01,2022 Annual,82.9
LEU0257917250,2023,A01,2023 Annual,89.7
LEU0257917250,2024,A01,2024 Annual,89.8
LEU0257917250,2025,A01,2025 Annual,93.3
