Series ID,Year,Period,Label,Value
LEU0257917253,2012,A01,2012 Annual,76.0
LEU0257917253,2013,A01,2013 Annual,79.3
LEU0257917253,2014,A01,2014 Annual,81.0
LEU0257917253,2015,A01,2015 Annual,77.8
LEU0257917253,2016,A01,2016 Annual,77.1
LEU0257917253,2017,A01,2017 Annual,75.5
LEU0257917253,2018,A01,2018 Annual,75.4
LEU0257917253,2019,A01,2019 Annual,78.2
LEU0257917253,2020,A01,2020 Annual,80.2
LEU0257917253,2021,A01,2021 Annual,82.8
LEU0257917253,2022,A01,2022 Annual,85.8
LEU0257917253,2023,A01,2023 Annual,76.5
LEU0257917253,2024,A01,2024 Annual,76.1
LEU0257917253,2025,A01,2025 Annual,77.3
