Series ID,Year,Period,Label,Value
LEU0257917213,2012,A01,2012 Annual,76.4
LEU0257917213,2013,A01,2013 Annual,81.6
LEU0257917213,2014,A01,2014 Annual,83.7
LEU0257917213,2015,A01,2015 Annual,84.8
LEU0257917213,2016,A01,2016 Annual,85.9
LEU0257917213,2017,A01,2017 Annual,83.1
LEU0257917213,2018,A01,2018 Annual,81.0
LEU0257917213,2019,A01,2019 Annual,80.5
LEU0257917213,2020,A01,2020 Annual,77.9
LEU0257917213,2021,A01,2021 Annual,86.2
LEU0257917213,2022,A01,2022 Annual,82.0
LEU0257917213,2023,A01,2023 Annual,88.5
LEU0257917213,2024,A01,2024 Annual,85.5
LEU0257917213,2025,A01,2025 Annual,85.6
